xPos	yPos
0	0
0	512
0	1024
0	1536
0	2048
0	2560
0	3072
0	3584
0	4096
0	4608
512	0
512	512
512	1024
512	1536
512	2048
512	2560
512	3072
512	3584
512	4096
512	4608
1024	0
1024	512
1024	1024
1024	1536
1024	2048
1024	2560
1024	3072
1024	3584
1024	4096
1024	4608
1536	0
1536	512
1536	1024
1536	1536
1536	2048
1536	2560
1536	3072
1536	3584
1536	4096
1536	4608
2048	0
2048	512
2048	1024
2048	1536
2048	2048
2048	2560
2048	3072
2048	3584
2048	4096
2048	4608
2560	0
2560	512
2560	1024
2560	1536
2560	2048
2560	2560
2560	3072
2560	3584
2560	4096
2560	4608
3072	0
3072	512
3072	1024
3072	1536
3072	2048
3072	2560
3072	3072
3072	3584
3072	4096
3072	4608
3584	0
3584	512
3584	1024
3584	1536
3584	2048
3584	2560
3584	3072
3584	3584
3584	4096
3584	4608
4096	0
4096	512
4096	1024
4096	1536
4096	2048
4096	2560
4096	3072
4096	3584
4096	4096
4096	4608
4608	0
4608	512
4608	1024
4608	1536
4608	2048
4608	2560
4608	3072
4608	3584
4608	4096
4608	4608
